Latitude,Longitude,StationID,demand_tpd,Production_Type,ProductionCapacity_tpd,ProductionCost_perDay,CO2_Emitted_tpd,CO2_Captured_tpd,DeliveredCost_usd_per_kg,Mode,Scenario_TotalCost_perDay,ScenarioID,StationCount,Constraint,Estimated_dispensed_cost
30.376,-97.726,103539,9.99890410328571,electrolyzer,11.025411230151992,47728.28221438482,38.69919341783349,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
30.376,-97.726,103539,9.99890410328571,electrolyzer,11.025411230151992,47728.28221438482,38.69919341783349,0.0,1000.0,Pipeline,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
32.319,-102.547,104234,1.4284819583740604,electrolyzerExisting,1.5751327205467234,7188.116249462715,0.0,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
30.7,-101.207,107617,9.89528986427132,electrolyzerExisting,10.911159752174928,49793.06422373674,0.0,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
30.035,-94.15,108840,9.997258059612085,electrolyzerExisting,11.02359620759738,50306.16785094956,0.0,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
30.035,-94.15,108840,9.997258059612085,electrolyzerExisting,11.02359620759738,50306.16785094956,0.0,0.0,1000.0,Pipeline,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
30.209,-95.526,109345,9.998295979934555,electrolyzer,11.024740677487632,47725.379435872885,38.69683977798159,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
37.587,-122.364,11279,3.2918855392461026,electrolyzerExisting,3.629836971147008,37991.2490147525,0.0,0.0,3000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$4.00 - $7.00/kg
37.587,-122.364,11279,3.2918855392461026,electrolyzerExisting,3.629836971147008,37991.2490147525,0.0,0.0,3000.0,Pipeline,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$4.00 - $7.00/kg
37.705,-122.407,11323,2.438309003936788,electrolyzerExisting,2.688630592416012,28140.22645013756,0.0,0.0,3000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$4.00 - $7.00/kg
